llm_name,kernel_version,case_id,initial_deploy_state,final_deploy_state,total_time,final_failed_stage,final_error_type,total_repair_round,analyzer_round,repairer_round,inspector_round,refiner_round,analyzer_time_consumption,repairer_time_consumption,inspector_time_consumption,refiner_time_consumption,total_agent_calls,deploy_tool_round,first_analyzer_can_fix,last_analyzer_can_fix
deepseek-v3.2,4.19,feature/attach_type_unsupported,false,false,20.84,static_check_failed,attach_target_missing,0,1,0,0,1,16.06,0.00,0.00,4.78,2,1,false,false
deepseek-v3.2,4.19,feature/btf_unsupported,false,false,210.26,static_check_failed,core_requires_btf,4,1,4,4,1,13.59,156.59,32.30,7.79,10,1,true,true
deepseek-v3.2,4.19,feature/map_type_unsupported,false,false,209.56,static_check_failed,map_type_unsupported,4,1,4,4,1,14.89,141.35,45.42,7.91,10,1,true,true
deepseek-v3.2,4.19,feature/program_type_unsupported,false,false,17.37,static_check_failed,attach_type_unsupported,0,1,0,0,1,12.25,0.00,0.00,5.12,2,1,false,false
deepseek-v3.2,4.19,helper_func/helper_bpf_get_current_task_bpf,false,true,209.76,,,4,4,4,4,1,56.56,103.83,40.74,6.35,13,5,true,true
deepseek-v3.2,4.19,helper_func/helper_bpf_ktime_get_boot_ns,false,true,48.02,,,1,1,1,1,1,12.98,22.41,6.37,5.38,4,2,true,true
deepseek-v3.2,4.19,helper_func/helper_bpf_snprintf,false,false,230.69,static_check_failed,helper_unsupported,4,1,4,4,1,7.61,159.16,57.53,6.38,10,1,true,true
deepseek-v3.2,4.19,helper_func/helper_bpf_strncmp,false,true,198.55,,,3,3,3,3,1,44.09,104.82,35.49,12.01,10,4,true,true
deepseek-v3.2,4.19,kernel_struct/field_add_remove,false,false,189.19,static_check_failed,core_requires_btf,4,1,4,4,1,9.13,134.88,37.15,8.03,10,1,true,true
deepseek-v3.2,4.19,kernel_struct/field_offset_change,false,false,213.81,runtime_test_failed,,4,4,4,4,1,57.59,109.09,36.24,7.30,13,5,true,true
deepseek-v3.2,4.19,kernel_struct/field_renamed,false,false,160.63,static_check_failed,core_requires_btf,4,1,4,4,1,8.63,107.65,36.62,7.73,10,1,true,true
deepseek-v3.2,4.19,verifier/loop_support,false,true,345.79,,,2,1,2,2,1,10.53,305.72,19.73,8.91,6,2,true,true
deepseek-v3.2,4.19,verifier/state_explosion,false,true,73.68,,,1,1,1,1,1,14.21,41.13,6.79,6.51,4,2,true,true
deepseek-v3.2,5.4,feature/attach_type_unsupported,false,false,236.62,runtime_test_failed,external_runtime_dependency_missing,4,3,4,4,1,35.05,140.70,40.69,8.44,12,3,true,true
deepseek-v3.2,5.4,feature/btf_unsupported,false,false,255.47,static_check_failed,helper_unsupported,4,1,4,4,1,10.06,204.64,34.04,6.72,10,1,true,true
deepseek-v3.2,5.4,feature/map_type_unsupported,false,false,264.95,static_check_failed,map_type_unsupported,4,1,4,4,1,28.96,166.72,61.99,7.26,10,1,true,true
deepseek-v3.2,5.4,feature/program_type_unsupported,false,false,34.00,static_check_failed,attach_type_unsupported,0,1,0,0,1,28.72,0.00,0.00,5.28,2,1,false,false
deepseek-v3.2,5.4,helper_func/helper_bpf_get_current_task_bpf,false,true,133.39,,,2,2,2,2,1,21.53,79.81,15.10,6.21,7,3,true,true
deepseek-v3.2,5.4,helper_func/helper_bpf_ktime_get_boot_ns,false,true,65.02,,,1,1,1,1,1,28.73,22.89,6.72,5.74,4,2,true,true
